location,total_sqft,bath,balcony,bhk,price
Electronic City Phase II,1056.0,2.0,1.0,2.0,39.07
other,2600.0,5.0,3.0,4.0,120.0
Uttarahalli,1440.0,2.0,3.0,3.0,62.0
other,1521.0,3.0,1.0,3.0,95.0
other,1200.0,2.0,1.0,2.0,51.0
Whitefield,1170.0,2.0,1.0,2.0,38.0
other,2732.0,4.0,0.0,4.0,204.0
other,3300.0,4.0,0.0,4.0,600.0
Marathahalli,1310.0,3.0,1.0,3.0,63.25
Whitefield,1800.0,2.0,2.0,3.0,70.0
Whitefield,2785.0,5.0,3.0,4.0,295.0
7th Phase JP Nagar,1000.0,2.0,1.0,2.0,38.0
other,1100.0,2.0,2.0,2.0,40.0
other,2250.0,3.0,2.0,3.0,148.0
other,1175.0,2.0,2.0,2.0,73.5
other,1180.0,3.0,2.0,3.0,48.0
Raja Rajeshwari Nagar,1540.0,3.0,3.0,3.0,60.0
other,2770.0,4.0,2.0,3.0,290.0
other,1100.0,2.0,2.0,2.0,48.0
other,600.0,1.0,1.0,1.0,15.0
other,1755.0,3.0,1.0,3.0,122.0
Thanisandra,2800.0,5.0,2.0,4.0,380.0
other,1767.0,3.0,1.0,3.0,103.0
other,510.0,1.0,0.0,1.0,25.25
other,1250.0,3.0,2.0,3.0,56.0
Electronic City,660.0,1.0,1.0,2.0,23.1
Whitefield,1610.0,3.0,2.0,3.0,81.0
other,1151.0,2.0,2.0,2.0,48.77
Electronic City,1025.0,2.0,1.0,3.0,47.0
Yelahanka,2475.0,4.0,0.0,4.0,186.0
other,1075.0,2.0,1.0,3.0,35.0
Hebbal,1760.0,2.0,2.0,3.0,123.0
Raja Rajeshwari Nagar,1693.0,3.0,3.0,3.0,57.39
other,1925.0,3.0,0.0,3.0,125.0
Kanakpura Road,700.0,2.0,1.0,2.0,36.0
other,1070.0,2.0,1.0,2.0,45.5
other,1724.0,3.0,2.0,3.0,125.0
other,1290.0,2.0,2.0,3.0,56.12
Uttarahalli,1143.0,2.0,2.0,2.0,45.0
other,1296.0,2.0,0.0,2.0,81.0
Sarjapur  Road,1254.0,3.0,2.0,3.0,38.0
other,600.0,1.0,0.0,1.0,38.0
Yelahanka,660.0,1.0,0.0,1.0,48.0
Kanakpura Road,1330.74,2.0,2.0,2.0,91.79
other,970.0,2.0,0.0,2.0,33.0
Whitefield,1459.0,2.0,1.0,2.0,94.82
other,800.0,1.0,1.0,2.0,130.0
other,869.0,2.0,1.0,2.0,36.0
other,1270.0,2.0,1.0,2.0,50.0
other,1670.0,3.0,1.0,3.0,99.0
Whitefield,2010.0,3.0,2.0,3.0,91.0
other,1185.0,2.0,2.0,2.0,75.0
Yelahanka,1600.0,2.0,3.0,3.0,75.0
other,1200.0,2.0,2.0,2.0,44.0
other,1500.0,2.0,2.0,2.0,185.0
other,1407.0,4.0,1.0,6.0,150.0
other,840.0,2.0,2.0,2.0,45.0
other,4395.0,3.0,2.0,3.0,240.0
other,845.0,2.0,1.0,2.0,55.0
Whitefield,5700.0,5.0,3.0,4.0,650.0
other,1160.0,2.0,2.0,2.0,44.0
other,3000.0,8.0,0.0,8.0,140.0
other,1100.0,2.0,1.0,2.0,62.0
other,1140.0,2.0,3.0,2.0,43.0
Marathahalli,1220.0,2.0,1.0,2.0,57.0
other,1350.0,7.0,0.0,8.0,85.0
Kanakpura Road,1005.0,2.0,1.0,2.0,36.68
other,500.0,3.0,2.0,3.0,100.0
other,1358.0,2.0,1.0,2.0,80.58
other,1569.0,3.0,1.0,3.0,101.0
Haralur Road,1240.0,2.0,1.0,2.0,70.0
Hennur Road,2089.0,3.0,2.0,3.0,140.0
other,1206.0,2.0,1.0,2.0,48.23
other,1150.0,2.0,3.0,2.0,40.0
other,2511.0,3.0,3.0,3.0,205.0
other,460.0,1.0,0.0,2.0,22.0
