location,total_sqft,bath,balcony,bhk,price,predicted_price_rf,price_per_sqft
Electronic City Phase II,1056.0,2.0,1.0,2.0,39.07,37.46998714285716,3699.810606060606
other,2600.0,5.0,3.0,4.0,120.0,159.53,4615.384615384615
Uttarahalli,1440.0,2.0,3.0,3.0,62.0,62.355999999999995,4305.555555555556
other,1521.0,3.0,1.0,3.0,95.0,98.35060666666662,6245.890861275477
other,1200.0,2.0,1.0,2.0,51.0,66.6977315562278,4250.0
Whitefield,1170.0,2.0,1.0,2.0,38.0,54.707,3247.863247863248
other,2732.0,4.0,0.0,4.0,204.0,196.64016666666666,7467.0571010248905
other,3300.0,4.0,0.0,4.0,600.0,486.425,18181.81818181818
Marathahalli,1310.0,3.0,1.0,3.0,63.25,67.50332,4828.244274809161
Whitefield,1800.0,2.0,2.0,3.0,70.0,89.74033333333333,3888.8888888888887
Whitefield,2785.0,5.0,3.0,4.0,295.0,263.07323809523814,10592.45960502693
7th Phase JP Nagar,1000.0,2.0,1.0,2.0,38.0,56.58417780657746,3800.0
other,1100.0,2.0,2.0,2.0,40.0,52.632757641613324,3636.3636363636365
other,2250.0,3.0,2.0,3.0,148.0,169.13869047619045,6577.777777777777
other,1175.0,2.0,2.0,2.0,73.5,61.10737366572928,6255.31914893617
other,1180.0,3.0,2.0,3.0,48.0,60.419008046296305,4067.7966101694915
Raja Rajeshwari Nagar,1540.0,3.0,3.0,3.0,60.0,58.4685569047619,3896.103896103896
other,2770.0,4.0,2.0,3.0,290.0,237.6138333333333,10469.314079422382
other,1100.0,2.0,2.0,2.0,48.0,52.632757641613324,4363.636363636364
other,600.0,1.0,1.0,1.0,15.0,43.4437546724002,2500.0
other,1755.0,3.0,1.0,3.0,122.0,122.17766666666668,6951.5669515669515
Thanisandra,2800.0,5.0,2.0,4.0,380.0,323.15183333333334,13571.42857142857
other,1767.0,3.0,1.0,3.0,103.0,105.21055833333332,5829.088851160159
other,510.0,1.0,0.0,1.0,25.25,36.745,4950.980392156863
other,1250.0,3.0,2.0,3.0,56.0,49.47788833944218,4480.0
Electronic City,660.0,1.0,1.0,2.0,23.1,17.98804738594739,3500.0
Whitefield,1610.0,3.0,2.0,3.0,81.0,82.09801333333333,5031.055900621118
other,1151.0,2.0,2.0,2.0,48.77,46.39202878787881,4237.185056472633
Electronic City,1025.0,2.0,1.0,3.0,47.0,46.13965999000999,4585.365853658536
Yelahanka,2475.0,4.0,0.0,4.0,186.0,176.1380769230769,7515.151515151515
other,1075.0,2.0,1.0,3.0,35.0,41.77439848548115,3255.813953488372
Hebbal,1760.0,2.0,2.0,3.0,123.0,96.00763333333333,6988.636363636364
Raja Rajeshwari Nagar,1693.0,3.0,3.0,3.0,57.39,63.34216666666673,3389.84051978736
other,1925.0,3.0,0.0,3.0,125.0,203.5666666666667,6493.506493506494
Kanakpura Road,700.0,2.0,1.0,2.0,36.0,37.122792861338006,5142.857142857143
other,1070.0,2.0,1.0,2.0,45.5,50.144234804089955,4252.336448598131
other,1724.0,3.0,2.0,3.0,125.0,125.18342857142854,7250.580046403712
other,1290.0,2.0,2.0,3.0,56.12,56.480908333333254,4350.387596899225
Uttarahalli,1143.0,2.0,2.0,2.0,45.0,50.06894166666667,3937.0078740157483
other,1296.0,2.0,0.0,2.0,81.0,81.90400000000001,6250.0
Sarjapur  Road,1254.0,3.0,2.0,3.0,38.0,50.623000000000005,3030.3030303030305
other,600.0,1.0,0.0,1.0,38.0,46.10695662638446,6333.333333333333
Yelahanka,660.0,1.0,0.0,1.0,48.0,50.54788333333333,7272.727272727273
Kanakpura Road,1330.74,2.0,2.0,2.0,91.79,96.10742698412702,6897.665960292769
other,970.0,2.0,0.0,2.0,33.0,39.427635714285714,3402.061855670103
Whitefield,1459.0,2.0,1.0,2.0,94.82,91.72113999999992,6498.971898560658
other,800.0,1.0,1.0,2.0,130.0,47.859024531024524,16250.0
other,869.0,2.0,1.0,2.0,36.0,54.12353333333333,4142.692750287687
other,1270.0,2.0,1.0,2.0,50.0,73.44410476190482,3937.0078740157483
other,1670.0,3.0,1.0,3.0,99.0,102.30178571428573,5928.143712574851
Whitefield,2010.0,3.0,2.0,3.0,91.0,112.27333333333334,4527.363184079602
other,1185.0,2.0,2.0,2.0,75.0,63.67180391275393,6329.113924050633
Yelahanka,1600.0,2.0,3.0,3.0,75.0,74.316,4687.5
other,1200.0,2.0,2.0,2.0,44.0,57.5871973877602,3666.6666666666665
other,1500.0,2.0,2.0,2.0,185.0,86.03702419802421,12333.333333333334
other,1407.0,4.0,1.0,6.0,150.0,166.35,10660.980810234541
other,840.0,2.0,2.0,2.0,45.0,33.835238095238104,5357.142857142857
other,4395.0,3.0,2.0,3.0,240.0,366.09,5460.750853242321
other,845.0,2.0,1.0,2.0,55.0,35.635520091020105,6508.87573964497
